"Cell_Type","High_Mean","Low_Mean","P_value"
"Type_17_T_helper_cell",4.02613484848485,4.20688888888889,5.22613003786891e-09
"Eosinophil",3.74087373737374,3.90934634634635,1.12016460512615e-08
"Monocyte",6.49050909090909,7.05582882882883,1.23647487647212e-08
"MDSC",5.36844886363636,5.6017240990991,9.51609301793016e-07
"M2_Macrophage",6.12391818181818,6.46567567567568,0.000209444025760319
"Activated_B_cell",3.819365,3.92553108108108,0.000281675594618668
"Regulatory_T_cell",3.57972575757576,3.64924624624625,0.000533646483264868
"Type_2_T_helper_cell",3.34649393939394,3.39869069069069,0.00194689871157627
"Natural_killer_cell",3.92069185606061,4.0414710960961,0.00257782475738186
"Gamma_delta_T_cell",3.93681590909091,4.05634234234234,0.00595953547260452
"Activated_CD4_T_cell",3.78444181818182,3.84138468468468,0.00817405267317543
"Plasmacytoid_dendritic_cell",4.71625303030303,4.62142792792793,0.0213446113510513
"Type_1_T_helper_cell",3.61604848484849,3.67236936936937,0.0226226181136964
"Activated_dendritic_cell",4.14695151515151,4.07868168168168,0.0439435339811056
"Immature_dendritic_cell",4.01588484848485,4.08113213213213,0.0681192794646746
"Neutrophil",4.14005227272727,4.10020833333333,0.151897832628339
"T_follicular_helper_cell",4.28931818181818,4.32112387387387,0.209453972281692
"Effector_memory_CD4_T_cell",4.77274242424242,4.86526126126126,0.310509635821411
"Effector_memory_CD8_T_cell",4.73756818181818,4.8092713963964,0.334164403735971
"M1_Macrophage",3.62798909090909,3.62825315315315,0.407106181641896
"Natural_killer_T_cell",4.58115984848485,4.54617567567568,0.429486173113036
"Central_memory_CD4_T_cell",4.593825,4.63235923423423,0.430715906709894
"Activated_CD8_T_cell",4.09407272727273,4.0887990990991,0.459558524587795
"Macrophage",4.80287784090909,4.85059121621622,0.53134430550143
"Mast_cell",3.92595909090909,3.96430952380952,0.690101140886379
"Central_memory_CD8_T_cell",4.67076136363636,4.68956756756757,0.792545251799899
